postcode,state,sa4,individuals,taxable_income,net_tax,avg_taxable_income,avg_net_tax,effective_tax_rate,avg_salary,avg_gross_interest,avg_dividends,avg_capital_gains,avg_gross_rent,avg_net_rent,avg_help_debt,avg_govt_allowances,avg_business_income,pct_private_health
2600,ACT,Australian Capital Territory,6205,807622914,248658940,130156.8,40073.96,30.79,78145.02,1925.23,6020.45,7783.25,8416.62,-489.73,4829.34,133.22,6117.98,80.5
2601,ACT,Australian Capital Territory,3599,260249690,67117449,72311.67,18648.92,25.79,57419.7,884.46,2135.95,1583.66,4013.7,-85.68,8417.43,433.93,2244.03,51.6
2602,ACT,Australian Capital Territory,23679,2134457988,553979371,90141.39,23395.39,25.95,72543.9,923.95,1531.6,1527.06,4538.89,-148.98,6642.19,335.63,2098.7,68.9
2603,ACT,Australian Capital Territory,7828,1115508646,360841265,142502.38,46096.23,32.35,80205.18,1982.61,8515.31,6739.87,8457.06,-514.9,5870.68,170.7,8393.56,79.0
2604,ACT,Australian Capital Territory,9332,1007744872,281125051,107988.09,30124.84,27.9,83505.06,1197.56,2383.62,3610.91,6121.46,-435.08,6899.32,240.21,2174.77,73.3
2605,ACT,Australian Capital Territory,8200,942381384,276515424,114924.56,33721.39,29.34,78572.81,1308.4,3764.3,5563.43,6109.28,-428.62,3569.29,173.28,4519.89,79.2
2606,ACT,Australian Capital Territory,9035,792720816,202733033,87738.88,22438.63,25.57,70570.94,928.78,2333.44,1429.78,4986.36,-113.5,5009.3,234.41,2508.21,61.9
2607,ACT,Australian Capital Territory,10012,935612813,246915224,93449.14,24661.93,26.39,68762.69,1216.96,2474.81,2148.06,5242.64,-43.42,3559.11,193.51,3108.36,74.1
2609,ACT,Australian Capital Territory,550,47586289,13074314,86520.53,23771.48,27.47,50622.03,1315.5,5624.63,10513.37,4787.25,686.79,2419.21,1012.4,1909.3,47.5
2611,ACT,Australian Capital Territory,26207,2348069775,600916818,89597.05,22929.63,25.59,73914.24,743.79,1323.92,1491.18,4156.66,-489.65,4105.95,232.38,2052.59,71.6
2612,ACT,Australian Capital Territory,14005,1322520403,349775908,94432.02,24975.07,26.45,75344.61,1187.61,2053.95,1754.6,4821.36,-289.53,9750.38,293.91,1812.24,65.7
2614,ACT,Australian Capital Territory,13799,1172299290,293512838,84955.38,21270.59,25.04,65300.77,1066.94,2183.14,1800.56,4185.17,-152.08,3769.83,286.66,1854.68,70.3
2615,ACT,Australian Capital Territory,30859,2336476072,543229758,75714.58,17603.61,23.25,64597.55,578.62,760.39,888.24,2562.66,-300.28,3438.7,340.33,1677.71,64.0
2616,ACT,ACT other,106,9272178,2415803,87473.38,22790.59,26.05,58767.02,869.83,1240.33,1200.15,14220.34,852.56,796.74,266.98,3611.67,60.4
2617,ACT,Australian Capital Territory,26555,1987925672,465119028,74860.69,17515.31,23.4,62551.0,772.83,1212.72,1021.9,3618.07,-184.74,4994.05,324.39,1672.88,59.7
2900,ACT,Australian Capital Territory,3743,273620650,60708555,73101.96,16219.22,22.19,62315.59,647.49,718.45,923.8,2003.68,-178.3,4757.35,309.18,1119.25,56.6
2902,ACT,Australian Capital Territory,10125,792556095,187316803,78277.15,18500.42,23.63,62992.47,702.97,1121.12,1373.74,3052.15,-151.92,2995.35,291.3,1854.79,68.8
2903,ACT,Australian Capital Territory,6189,483621771,114812526,78142.15,18551.06,23.74,63139.86,724.05,1156.29,1262.47,3515.0,-251.69,2757.45,328.75,1580.85,68.8
2904,ACT,Australian Capital Territory,8718,726910848,177547210,83380.46,20365.59,24.42,65870.18,873.07,1417.34,1417.54,4136.1,-144.26,2617.19,206.5,1760.76,75.3
2905,ACT,Australian Capital Territory,18573,1415522214,328674656,76213.98,17696.37,23.22,65532.61,543.89,751.52,790.26,2784.61,-266.47,2620.88,285.37,1581.24,64.9
2906,ACT,Australian Capital Territory,11840,931598895,220336273,78682.34,18609.48,23.65,68542.14,488.71,481.27,829.6,2813.36,-425.11,2634.68,261.93,1450.91,66.5
2911,ACT,Australian Capital Territory,3099,278762146,72097857,89952.29,23264.88,25.86,78868.39,674.7,1090.75,910.66,6691.23,-1484.98,3697.37,171.94,2355.69,69.4
2912,ACT,Australian Capital Territory,6198,437832825,99098759,70640.98,15988.83,22.63,63722.72,498.98,481.79,730.43,3671.2,-309.74,4679.15,294.05,1668.21,50.0
2913,ACT,Australian Capital Territory,28097,2204806218,530711614,78471.23,18888.55,24.07,68825.51,576.8,768.76,865.34,4032.93,-553.54,3697.59,239.28,1899.15,61.3
2914,ACT,Australian Capital Territory,22042,1836973350,457619845,83339.69,20761.27,24.91,75982.08,416.99,543.68,1045.68,4600.82,-850.11,3586.07,216.26,1899.56,62.1
1240,NSW,NSW other,56,4353854,1390537,77747.39,24831.02,31.94,24983.23,2081.16,6414.73,41617.32,32260.07,4030.84,1577.48,0.0,1948.84,33.9
1355,NSW,NSW other,58,5873166,1804015,101261.48,31103.71,30.72,70403.45,4921.31,3211.36,1126.43,11841.55,1953.83,1256.76,0.0,4787.76,69.0
1871,NSW,NSW other,51,4037745,1117601,79171.47,21913.75,27.68,38892.69,143.33,11691.02,816.76,4690.98,1549.9,3667.96,1198.35,5154.35,33.3
2000,NSW,Sydney - City and Inner South,25285,2419248728,753004295,95679.21,29780.67,31.13,59529.77,1776.01,6599.8,8664.88,6062.39,180.35,1976.99,127.19,4594.22,38.1
2001,NSW,NSW other,226,36316533,13489893,160692.62,59689.79,37.15,66960.04,2827.52,17496.75,7961.46,15521.81,2026.07,3487.85,50.84,2458.81,62.8
2002,NSW,NSW other,60,3514360,1094962,58572.67,18249.37,31.16,49122.22,459.95,425.0,0.75,15649.68,943.32,4449.32,206.83,2608.03,36.7
2006,NSW,NSW other,52,6632232,2244302,127542.92,43159.65,33.84,73404.9,5151.12,873.1,38924.77,7068.12,-37.58,2944.1,391.21,677.21,63.5
2007,NSW,Sydney - City and Inner South,5431,325350177,75501632,59906.13,13901.98,23.21,53347.27,754.66,676.44,660.76,4188.98,86.51,3683.91,278.32,1832.77,37.8
2008,NSW,Sydney - City and Inner South,6825,476730331,120714558,69850.6,17687.11,25.32,60729.87,1043.41,889.42,3075.56,3993.37,-4.43,6581.62,410.03,3081.87,44.3
2009,NSW,Sydney - City and Inner South,9275,932881978,277029549,100580.27,29868.41,29.7,75644.3,1806.08,4857.83,3741.56,7792.16,196.04,3263.74,270.02,3900.48,59.9
2010,NSW,Sydney - City and Inner South,19983,2257081637,679797091,112950.09,34018.77,30.12,88225.67,1311.09,2715.39,3437.05,5526.8,8.77,6148.52,333.04,6305.56,60.1
2011,NSW,Sydney - City and Inner South,13647,1775619149,572313712,130110.58,41936.96,32.23,82554.63,1960.35,10124.2,5425.86,6088.01,243.34,5582.8,319.1,7261.98,61.8
2012,NSW,NSW other,70,8571986,2760882,122456.94,39441.17,32.21,58176.36,827.56,10487.76,2586.53,6421.67,803.6,3836.41,630.0,4767.61,71.4
2013,NSW,NSW other,53,4166102,1058225,78605.7,19966.51,25.4,64383.75,147.11,6257.09,833.15,3255.85,-431.85,3644.45,163.34,5054.17,62.3
2014,NSW,NSW other,51,6347562,1989270,124462.0,39005.29,31.34,88848.35,1277.18,1793.08,1093.57,8922.59,-1335.0,5617.57,0.0,4009.41,74.5
2015,NSW,Sydney - City and Inner South,8544,986506729,292868023,115461.93,34277.62,29.69,93122.11,1080.78,3371.64,8060.27,5290.2,-353.58,6048.75,251.27,3756.95,68.4
2016,NSW,Sydney - City and Inner South,9039,863316003,241828043,95510.12,26753.85,28.01,78826.34,1060.0,1544.3,1606.01,4715.68,184.71,6652.91,546.66,4987.64,57.3
2017,NSW,Sydney - City and Inner South,17647,1474886686,386988937,83577.19,21929.45,26.24,75500.14,889.81,744.23,903.16,4732.21,-345.74,4137.03,348.62,3063.14,54.1
2018,NSW,Sydney - City and Inner South,12526,959862120,239353908,76629.58,19108.57,24.94,67114.88,877.12,1063.72,956.73,5399.05,207.38,4426.49,346.55,3242.79,55.9
2019,NSW,Sydney - City and Inner South,8829,750635745,191685396,85019.34,21710.88,25.54,75746.16,689.18,996.43,949.78,4394.33,-22.02,3831.53,259.15,3350.41,63.3
2020,NSW,Sydney - City and Inner South,15085,1019396695,238527079,67576.84,15812.2,23.4,61770.59,723.93,561.61,1006.36,4543.2,-65.37,3269.46,208.69,2199.62,45.5
2021,NSW,Sydney - Eastern Suburbs,10808,1698479139,576236137,157150.18,53315.7,33.93,100951.5,2555.34,7397.02,6828.93,8290.43,157.0,6710.2,259.41,9692.29,75.0
